客戶,貨物數,總才積
1,2,453924
2,2,456412
3,3,632392
4,3,443296
5,1,76140
6,1,74844
7,2,325140
8,2,329640
9,3,430666
10,2,324504
11,1,296946
12,3,418104
13,2,561522
14,2,141375
15,1,71896
16,1,296946
17,1,549976
18,3,485400
19,2,231822
20,1,74844
21,1,404544
22,2,611800
23,1,156978
24,3,429264
25,3,329799
26,3,222880
27,3,446904
28,1,249660
29,1,156978
30,1,61824
31,1,18975
32,2,479388
33,2,267975
34,2,480684
35,2,152280
36,1,61824
37,3,770640
38,1,249660
39,1,76140
40,1,296946
41,1,71896
42,2,706954
43,3,818364
44,2,423519
45,1,164820
46,2,419346
47,1,260820
48,3,433224
49,2,423519
50,2,611296
51,2,325140
52,3,498363
53,2,282892
54,3,718500
55,1,76140
56,2,198540
57,2,714796
58,2,653544
59,2,233118
60,2,455752
