區域,起點,終點
0,0,5
0,0,61
0,0,10
0,0,59
0,0,43
0,0,8
0,0,67
0,0,25
0,0,39
0,0,57
0,0,37
0,0,54
0,0,52
0,0,35
0,0,70
0,0,12
0,0,40
0,0,11
0,5,61
0,5,10
0,5,59
0,5,43
0,5,8
0,5,67
0,5,25
0,5,39
0,5,57
0,5,37
0,5,54
0,5,52
0,5,35
0,5,70
0,5,12
0,5,40
0,5,11
0,5,0
0,61,10
0,61,59
0,61,43
0,61,8
0,61,67
0,61,25
0,61,39
0,61,57
0,61,37
0,61,54
0,61,52
0,61,35
0,61,70
0,61,12
0,61,40
0,61,11
0,61,0
0,10,59
0,10,43
0,10,8
0,10,67
0,10,25
0,10,39
0,10,57
0,10,37
0,10,54
0,10,52
0,10,35
0,10,70
0,10,12
0,10,40
0,10,11
0,10,0
0,59,43
0,59,8
0,59,67
0,59,25
0,59,39
0,59,57
0,59,37
0,59,54
0,59,52
0,59,35
0,59,70
0,59,12
0,59,40
0,59,11
0,59,0
0,43,8
0,43,67
0,43,25
0,43,39
0,43,57
0,43,37
0,43,54
0,43,52
0,43,35
0,43,70
0,43,12
0,43,40
0,43,11
0,43,0
0,8,67
0,8,25
0,8,39
0,8,57
0,8,37
0,8,54
0,8,52
0,8,35
0,8,70
0,8,12
0,8,40
0,8,11
0,8,0
0,67,25
0,67,39
0,67,57
0,67,37
0,67,54
0,67,52
0,67,35
0,67,70
0,67,12
0,67,40
0,67,11
0,67,0
0,25,39
0,25,57
0,25,37
0,25,54
0,25,52
0,25,35
0,25,70
0,25,12
0,25,40
0,25,11
0,25,0
0,39,57
0,39,37
0,39,54
0,39,52
0,39,35
0,39,70
0,39,12
0,39,40
0,39,11
0,39,0
0,57,37
0,57,54
0,57,52
0,57,35
0,57,70
0,57,12
0,57,40
0,57,11
0,57,0
0,37,54
0,37,52
0,37,35
0,37,70
0,37,12
0,37,40
0,37,11
0,37,0
0,54,52
0,54,35
0,54,70
0,54,12
0,54,40
0,54,11
0,54,0
0,52,35
0,52,70
0,52,12
0,52,40
0,52,11
0,52,0
0,35,70
0,35,12
0,35,40
0,35,11
0,35,0
0,70,12
0,70,40
0,70,11
