客戶,服務區域1,服務區域2,服務區域3,服務區域4
1,0,0,1,1
2,0,0,1,0
3,0,0,0,1
4,0,0,0,1
5,0,0,1,1
6,0,0,1,0
7,0,0,1,1
8,1,0,0,0
9,0,1,1,0
10,0,0,0,1
11,1,1,0,0
12,0,1,1,0
13,0,0,0,1
14,0,1,0,0
15,0,0,0,1
16,1,0,0,0
17,0,0,1,1
18,0,0,1,0
19,1,1,0,0
20,0,0,1,1
21,1,1,0,0
22,0,1,0,0
23,0,0,1,0
24,1,0,0,0
25,1,0,0,0
26,0,0,0,1
27,0,0,1,0
28,0,0,1,0
29,1,1,0,0
30,0,0,1,1
31,0,0,0,1
32,0,1,0,0
33,0,1,1,0
34,0,1,0,0
35,0,1,0,0
36,0,0,1,0
37,0,0,1,1
38,0,0,1,1
39,0,0,0,1
40,1,0,0,0
41,0,0,1,0
42,0,0,0,1
43,0,1,1,0
44,0,0,1,0
45,0,1,0,0
46,0,0,1,1
47,1,0,0,0
48,1,0,0,0
49,0,0,1,1
50,0,1,0,0
51,0,1,0,0
52,1,0,0,0
53,1,1,0,0
54,1,0,0,0
55,1,0,0,0
56,0,1,0,0
57,1,1,0,0
58,0,0,0,1
59,0,0,1,1
60,0,1,1,0
61,0,0,1,0
62,0,1,0,0
63,0,0,1,0
64,0,1,0,0
65,1,0,0,0
66,0,0,0,1
67,0,0,1,1
68,0,0,1,0
69,0,1,0,0
70,0,0,0,1
71,0,1,1,0
72,1,0,0,0
