客戶,貨物,材積,長,寬,高,方向1,方向2,方向3,方向4,方向5,方向6,脆弱性
1,1,296946,81,78,47,1,1,0,0,1,0,0
1,2,156978,57,51,54,1,0,1,0,1,0,0
2,1,249660,73,57,60,1,1,1,1,1,1,0
2,2,206752,91,71,32,1,1,0,0,1,0,0
3,1,206752,91,71,32,1,0,0,1,0,1,0
3,2,260820,92,81,35,1,0,1,0,0,1,0
3,3,164820,82,67,30,0,1,1,1,0,1,0
4,1,249000,83,100,30,1,1,1,1,1,0,0
4,2,71896,86,38,22,1,1,1,1,1,0,0
4,3,122400,50,51,48,1,1,0,0,1,1,0
5,1,76140,47,36,45,1,0,0,0,0,1,0
6,1,74844,81,33,28,1,0,1,0,0,1,0
7,1,249000,83,100,30,1,1,0,0,1,0,0
7,2,76140,47,36,45,0,1,0,1,1,0,0
8,1,164820,82,67,30,1,0,1,1,1,1,0
8,2,164820,82,67,30,1,0,1,1,0,1,0
9,1,61824,92,12,56,0,1,1,1,1,1,0
9,2,296946,81,78,47,0,0,0,1,1,0,0
9,3,71896,86,38,22,0,0,0,0,1,0,0
10,1,249660,73,57,60,0,1,1,1,1,1,0
10,2,74844,81,33,28,0,1,0,0,0,1,0
11,1,296946,81,78,47,1,0,1,0,1,0,0
12,1,74844,81,33,28,0,0,0,0,0,1,1
12,2,249660,73,57,60,0,0,1,1,0,1,0
12,3,93600,40,39,60,1,0,0,1,0,1,0
13,1,404544,84,112,43,0,1,1,1,0,0,0
13,2,156978,57,51,54,0,0,1,0,0,1,0
14,1,18975,33,25,23,1,0,1,1,1,0,0
14,2,122400,50,51,48,1,1,1,0,0,1,0
15,1,71896,86,38,22,1,0,1,1,1,1,0
16,1,296946,81,78,47,1,1,0,1,1,1,1
17,1,549976,98,122,46,1,0,1,0,0,1,1
18,1,71896,86,38,22,0,1,1,1,1,0,0
18,2,206752,91,71,32,1,1,0,0,0,1,0
18,3,206752,91,71,32,1,0,0,1,1,0,0
19,1,74844,81,33,28,1,0,1,0,1,0,0
19,2,156978,57,51,54,0,0,0,1,0,1,0
20,1,74844,81,33,28,0,1,0,1,1,0,0
21,1,404544,84,112,43,0,0,1,1,1,1,1
22,1,61824,92,12,56,1,0,1,0,1,1,1
22,2,549976,98,122,46,1,1,1,1,0,0,0
23,1,156978,57,51,54,0,1,1,0,0,1,1
24,1,93600,40,39,60,1,1,0,1,0,0,0
24,2,260820,92,81,35,1,1,1,1,0,1,0
24,3,74844,81,33,28,0,1,1,0,1,0,0
25,1,18975,33,25,23,0,1,0,1,0,1,1
25,2,249000,83,100,30,0,1,0,1,0,0,1
25,3,61824,92,12,56,1,1,1,1,0,0,1
26,1,74844,81,33,28,0,1,0,1,0,1,0
26,2,76140,47,36,45,1,0,1,1,1,1,1
26,3,71896,86,38,22,1,1,1,0,1,1,0
27,1,249660,73,57,60,1,1,1,0,1,0,0
27,2,74844,81,33,28,1,0,0,0,1,0,0
27,3,122400,50,51,48,1,0,0,1,1,1,0
28,1,249660,73,57,60,1,1,0,1,1,0,0
29,1,156978,57,51,54,0,0,1,1,0,0,0
30,1,61824,92,12,56,1,0,1,0,0,1,0
31,1,18975,33,25,23,1,0,1,1,0,0,0
32,1,74844,81,33,28,1,0,1,1,1,1,0
32,2,404544,84,112,43,1,1,1,0,1,0,1
33,1,18975,33,25,23,0,1,0,0,1,1,1
33,2,249000,83,100,30,0,1,0,1,1,1,0
34,1,76140,47,36,45,1,1,0,0,0,1,0
34,2,404544,84,112,43,0,0,0,0,1,0,0
35,1,76140,47,36,45,1,0,0,0,1,1,0
35,2,76140,47,36,45,0,1,1,0,1,1,0
36,1,61824,92,12,56,1,1,0,1,1,0,0
37,1,249000,83,100,30,0,0,0,1,0,1,1
37,2,260820,92,81,35,0,1,1,1,1,1,0
37,3,260820,92,81,35,1,1,1,1,1,1,0
38,1,249660,73,57,60,1,1,1,1,0,1,0
39,1,76140,47,36,45,1,1,1,1,1,1,0
40,1,296946,81,78,47,1,1,1,1,0,1,0
41,1,71896,86,38,22,0,0,1,0,1,1,0
42,1,156978,57,51,54,0,0,1,1,0,1,1
42,2,549976,98,122,46,1,0,0,0,1,1,0
43,1,404544,84,112,43,1,0,0,1,0,1,0
43,2,249000,83,100,30,0,0,1,1,1,1,0
43,3,164820,82,67,30,0,1,1,1,0,1,0
44,1,18975,33,25,23,1,0,1,0,1,0,1
44,2,404544,84,112,43,1,1,1,1,1,0,0
45,1,164820,82,67,30,1,1,0,0,1,1,0
46,1,122400,50,51,48,1,0,0,0,0,0,0
46,2,296946,81,78,47,1,1,1,0,0,1,0
47,1,260820,92,81,35,1,0,1,0,1,0,0
48,1,61824,92,12,56,1,0,1,0,0,1,0
48,2,122400,50,51,48,0,1,0,1,0,0,0
48,3,249000,83,100,30,1,0,1,0,0,0,0
49,1,18975,33,25,23,1,0,1,0,1,1,1
49,2,404544,84,112,43,1,0,1,0,1,1,0
50,1,206752,91,71,32,0,0,1,1,0,1,0
50,2,404544,84,112,43,1,0,0,0,0,1,1
51,1,76140,47,36,45,1,1,0,0,1,1,0
51,2,249000,83,100,30,1,1,0,0,1,1,0
52,1,404544,84,112,43,1,1,1,0,1,1,0
52,2,74844,81,33,28,0,1,0,1,1,0,0
52,3,18975,33,25,23,0,1,0,0,0,1,0
53,1,206752,91,71,32,1,1,0,1,1,0,0
53,2,76140,47,36,45,1,0,0,1,1,0,0
54,1,156978,57,51,54,1,1,0,1,0,0,0
54,2,156978,57,51,54,0,0,1,0,0,1,0
54,3,404544,84,112,43,0,0,1,1,1,1,1
55,1,76140,47,36,45,0,1,1,1,0,0,0
56,1,76140,47,36,45,1,1,1,0,1,1,0
56,2,122400,50,51,48,1,0,0,0,1,0,1
57,1,549976,98,122,46,1,1,0,0,1,0,1
57,2,164820,82,67,30,0,0,1,0,1,1,0
58,1,249000,83,100,30,0,1,1,1,0,1,0
58,2,404544,84,112,43,0,0,0,1,1,1,0
59,1,76140,47,36,45,1,1,1,1,0,1,0
59,2,156978,57,51,54,0,0,1,1,0,0,0
60,1,249000,83,100,30,1,0,0,1,0,1,0
60,2,206752,91,71,32,1,1,1,1,0,1,1
